id,unit_measure,quantity_input,expiration_date,quantity_measure,days_to_sold,product_input_showcase_today
1001,kg,74,327,10,21,False
1002,UN,95,-74,7,27,True
1003,UN,27,-197,9,23,True
1004,L,53,366,18,14,False
1005,L,1,-211,2,3,False
1006,UN,40,64,3,26,True
1007,L,41,-106,12,29,True
1008,L,65,181,6,21,True
1009,UN,30,233,7,29,True
1010,kg,86,9,4,1,False
1011,L,54,-148,19,28,True
1012,L,79,-63,15,3,False
1013,L,1,358,5,13,False
1014,kg,70,298,8,6,False
1015,L,56,208,5,2,False
1016,L,31,393,6,15,True
1017,kg,63,112,17,6,False
1018,UN,71,-62,2,19,True
1019,L,90,27,13,7,True
1020,kg,25,327,8,15,True
1021,L,99,413,18,18,False
1022,kg,36,-79,1,1,False
1023,kg,92,-137,10,29,True
1024,L,6,-207,19,4,True
1025,kg,78,294,1,6,True
1026,kg,9,54,1,19,False
1027,kg,29,212,15,26,False
1028,kg,93,355,18,25,True
1029,L,55,-130,4,26,False
1030,L,22,102,8,26,True
1031,L,6,-48,13,20,True
1032,UN,93,87,5,18,False
1033,UN,10,-174,6,7,False
1034,L,4,367,14,19,False
1035,kg,30,-12,19,15,False
1036,L,64,423,18,16,False
1037,L,52,-138,18,27,True
1038,kg,50,-86,18,1,False
1039,kg,72,-202,10,2,True
1040,kg,37,35,14,22,True
1041,L,2,-93,17,15,True
1042,UN,94,-285,1,11,True
1043,UN,73,232,7,11,False
1044,kg,69,36,2,28,False
1045,L,25,214,12,4,True
1046,UN,77,48,18,7,False
1047,kg,26,-4,5,9,False
1048,UN,42,-7,8,18,False
1049,kg,39,355,18,29,True
1050,UN,87,75,13,10,False
1051,kg,37,-165,3,15,True
1052,UN,88,45,5,24,False
1053,L,31,217,17,23,False
1054,kg,6,85,13,9,True
1055,kg,47,49,8,3,True
1056,L,66,1,3,7,False
1057,kg,49,288,3,12,True
1058,UN,58,357,2,19,False
1059,UN,69,-198,3,3,False
1060,UN,37,-259,1,1,False
1061,L,14,-125,14,14,False
1062,kg,63,424,1,24,False
1063,UN,70,212,6,5,True
1064,UN,23,-70,7,15,False
1065,UN,48,-197,19,19,False
1066,L,12,384,16,15,True
1067,UN,97,354,5,5,False
1068,UN,58,103,4,6,False
1069,L,24,403,16,10,True
1070,L,73,-129,14,23,False
1071,kg,75,-109,6,23,False
1072,UN,28,-260,1,6,False
1073,kg,72,-246,15,10,True
1074,UN,77,171,18,9,False
1075,kg,2,-98,18,24,True
1076,L,3,29,16,11,False
1077,UN,72,-13,14,7,True
1078,kg,25,-186,7,28,False
1079,kg,59,29,1,9,False
1080,UN,49,-250,15,29,False
1081,kg,69,-150,16,23,False
1082,UN,81,89,18,22,False
1083,kg,43,60,5,6,False
1084,kg,75,-20,12,24,False
1085,L,78,29,17,18,True
1086,L,87,409,10,2,False
1087,kg,8,-244,15,22,True
1088,L,20,35,5,29,True
1089,UN,66,48,15,27,True
1090,UN,90,350,8,5,True
1091,L,84,202,8,5,True
1092,L,41,-259,1,24,True
1093,L,91,6,8,25,False
1094,kg,24,-271,16,18,False
1095,L,79,-299,1,19,True
1096,L,25,377,7,4,True
1097,UN,46,-179,3,21,True
1098,kg,50,330,13,23,True
1099,L,14,308,12,6,False
1100,L,11,-30,11,24,False
1101,L,19,-192,12,5,True
1102,UN,12,-230,14,8,True
1103,UN,43,-58,12,15,True
1104,L,69,-69,8,26,True
1105,UN,3,420,17,12,True
1106,kg,77,-260,6,22,False
1107,kg,85,-152,4,26,True
1108,L,11,325,13,28,False
1109,UN,33,313,3,12,True
1110,UN,74,256,13,2,False
1111,kg,13,240,15,26,False
1112,kg,75,171,11,7,True
1113,L,39,-170,1,17,True
1114,L,48,116,4,29,True
1115,kg,80,-180,1,12,False
1116,kg,32,-229,19,3,True
1117,UN,5,346,15,13,True
1118,UN,3,89,11,20,False
1119,L,34,149,10,6,False
1120,UN,50,-170,3,21,False
1121,L,28,404,3,17,True
1122,UN,73,5,3,1,True
1123,L,28,-144,11,10,False
1124,UN,36,171,17,4,True
1125,L,57,-252,16,19,False
1126,kg,81,-66,16,6,True
1127,kg,79,375,1,24,False
1128,UN,40,39,6,13,True
1129,UN,42,64,1,24,False
1130,kg,80,209,12,26,True
1131,UN,48,76,13,29,True
1132,kg,52,-127,5,7,True
1133,kg,6,388,6,28,False
1134,UN,14,284,14,26,False
1135,UN,86,25,9,26,False
1136,kg,54,-72,12,19,False
1137,kg,88,397,2,6,True
1138,UN,90,234,17,12,False
1139,L,27,-240,19,28,False
1140,L,90,201,15,12,False
1141,kg,10,244,1,1,True
1142,UN,11,-169,7,13,True
1143,kg,13,185,14,24,True
1144,UN,80,-296,12,8,True
1145,L,86,-209,12,1,False
1146,kg,81,-182,8,21,True
1147,L,75,355,8,19,True
1148,L,76,72,18,23,False
1149,kg,67,381,19,7,False
1150,L,65,300,8,22,True
1151,UN,24,116,16,23,True
1152,kg,3,-164,11,20,True
1153,kg,69,-220,16,28,True
1154,UN,37,-249,8,15,True
1155,UN,23,37,11,23,True
1156,UN,95,77,1,14,True
1157,L,64,-153,17,4,True
1158,kg,67,52,13,15,False
1159,kg,91,-84,13,7,False
1160,UN,22,292,13,3,False
1161,kg,78,112,3,4,False
1162,L,59,-24,12,11,False
1163,L,75,-98,19,25,False
1164,kg,48,33,1,18,True
1165,kg,88,104,10,6,True
1166,L,1,-160,3,20,True
1167,L,53,381,17,1,True
1168,kg,4,18,4,29,True
1169,L,94,79,10,13,False
1170,kg,19,306,14,23,False
1171,kg,89,-80,3,3,True
1172,kg,86,-235,7,29,True
1173,kg,87,-110,14,25,False
1174,L,43,-95,17,28,False
1175,UN,61,257,4,19,True
1176,UN,52,77,17,12,False
1177,kg,20,2,8,10,False
1178,UN,96,-289,15,24,True
1179,kg,28,339,14,11,True
1180,L,31,305,11,8,False
1181,kg,58,259,16,29,False
1182,L,35,173,4,18,True
1183,L,2,-67,19,19,False
1184,L,48,201,15,11,True
1185,UN,95,-140,4,25,False
1186,kg,54,-157,5,22,False
1187,kg,81,-138,1,18,False
1188,L,64,82,12,18,False
1189,UN,57,400,5,7,False
1190,L,97,129,12,2,True
1191,UN,2,-1,5,16,True
1192,UN,12,79,4,2,True
1193,kg,64,81,16,13,True
1194,UN,69,40,13,15,True
1195,kg,21,115,2,26,True
1196,UN,51,-262,4,26,False
1197,kg,34,-99,14,21,False
1198,L,22,322,6,20,False
1199,L,20,37,19,23,False
1200,kg,11,25,4,7,True
1201,kg,2,286,8,24,True
1202,UN,61,-7,12,15,False
1203,L,46,299,10,3,True
1204,L,58,-259,15,14,False
1205,UN,93,-241,9,13,False
1206,L,19,40,13,3,False
1207,UN,45,368,3,21,False
1208,kg,24,252,1,16,False
1209,UN,63,-99,17,12,True
1210,UN,55,274,14,26,True
1211,kg,43,236,12,18,False
1212,kg,53,19,18,24,False
1213,UN,74,-304,3,14,False
1214,L,87,-90,12,3,True
1215,kg,62,413,1,3,True
1216,UN,43,-241,18,27,True
1217,L,19,304,2,1,True
1218,UN,91,-15,5,12,False
1219,L,84,283,14,15,False
1220,kg,1,-24,4,8,True
1221,kg,98,-124,12,25,True
1222,kg,83,95,18,14,True
1223,L,5,-181,4,16,False
1224,L,50,218,1,5,False
1225,L,30,270,13,17,True
1226,L,53,-132,2,10,True
1227,UN,79,-114,7,24,True
1228,L,37,147,11,26,True
1229,L,29,219,5,15,False
1230,L,80,305,1,13,True
1231,L,35,374,19,17,False
1232,kg,36,197,14,29,True
1233,L,88,190,18,26,True
1234,UN,52,395,8,16,False
1235,kg,33,285,2,14,True
1236,kg,59,26,9,9,True
1237,UN,45,-203,2,28,True
1238,kg,50,-187,2,23,False
1239,kg,28,361,11,27,True
1240,UN,13,374,10,14,True
1241,kg,99,-187,5,21,True
1242,UN,85,92,19,3,True
1243,UN,27,352,16,11,True
1244,UN,94,215,5,17,False
1245,UN,29,210,5,1,False
1246,L,74,415,17,20,True
1247,UN,39,-209,2,15,False
1248,UN,59,-157,2,29,True
1249,kg,16,248,19,13,False
1250,kg,70,72,14,18,True
1251,UN,49,4,10,7,True
1252,UN,84,397,5,16,True
1253,L,46,86,18,6,True
1254,UN,30,209,14,25,True
1255,kg,61,340,15,13,True
1256,L,62,100,18,23,False
1257,UN,32,31,7,22,False
1258,L,73,-24,14,29,True
1259,L,29,-99,4,4,False
1260,kg,22,105,14,6,False
1261,kg,25,48,9,10,False
1262,L,58,129,18,4,False
1263,UN,26,316,2,20,False
1264,kg,9,294,6,3,False
1265,UN,49,284,4,9,False
1266,kg,86,-235,14,5,True
1267,L,22,246,13,24,False
1268,UN,1,320,16,21,False
1269,kg,68,180,6,3,True
1270,L,64,-205,8,9,False
1271,L,23,-150,8,5,False
1272,L,51,-16,10,22,True
1273,UN,22,-218,18,24,False
1274,kg,71,76,8,16,True
1275,L,2,156,11,12,False
1276,UN,78,112,11,28,True
1277,UN,59,112,14,25,True
1278,UN,89,-295,2,18,True
1279,L,50,51,13,12,True
1280,L,43,-109,19,14,False
1281,UN,83,-235,6,8,False
1282,L,89,-34,19,17,True
1283,kg,41,342,13,21,False
1284,L,19,-238,10,14,False
1285,kg,9,262,18,26,True
1286,L,44,79,5,2,False
1287,UN,82,161,12,20,True
1288,UN,89,-256,7,11,True
1289,UN,88,7,12,4,False
1290,L,10,168,15,6,True
1291,L,5,-141,9,22,True
1292,L,8,-130,13,2,True
1293,UN,98,-165,15,2,True
1294,kg,72,351,14,19,False
1295,L,9,163,15,18,True
1296,UN,64,100,5,27,True
1297,UN,61,-118,6,21,False
1298,kg,75,-219,15,17,True
1299,UN,63,156,19,24,True
1300,kg,33,343,15,29,False
1301,kg,87,-109,3,9,True
1302,UN,99,-286,2,11,True
1303,L,70,187,16,17,False
1304,L,70,255,15,23,True
1305,UN,26,-76,1,15,True
1306,UN,39,40,5,12,True
1307,UN,70,129,17,15,True
1308,kg,52,-100,19,7,False
1309,L,83,-104,1,17,True
1310,L,20,247,2,22,False
1311,kg,55,410,18,17,False
1312,kg,17,387,7,3,True
1313,L,34,-167,4,3,True
1314,UN,19,401,13,7,False
1315,L,78,126,9,18,True
1316,kg,52,-263,13,5,True
1317,kg,87,253,1,7,False
1318,UN,52,215,2,9,False
1319,UN,84,313,5,22,False
1320,L,34,217,12,27,False
1321,kg,30,-58,18,15,False
1322,kg,22,149,2,26,True
1323,kg,22,254,1,4,True
1324,L,69,121,6,10,False
1325,UN,62,147,11,1,False
1326,kg,34,108,12,2,False
1327,L,88,-41,13,5,False
1328,UN,87,-234,5,8,True
1329,L,84,417,7,13,False
1330,kg,25,-156,18,8,True
1331,UN,87,103,10,4,True
1332,L,1,-199,3,27,False
1333,L,73,-212,8,21,True
1334,L,45,264,7,7,True
1335,L,68,-214,18,2,False
1336,UN,18,261,19,14,True
1337,kg,22,-251,11,24,False
1338,L,62,32,18,25,False
1339,UN,90,157,4,12,False
1340,L,86,280,11,7,True
1341,kg,22,-162,13,17,True
1342,kg,98,222,18,18,False
1343,L,19,-299,19,10,True
1344,UN,8,-242,12,12,False
1345,UN,46,330,7,14,False
1346,UN,83,172,12,16,False
1347,L,63,-170,13,4,False
1348,kg,18,348,5,25,False
1349,UN,85,300,8,29,True
1350,L,30,166,5,28,False
1351,UN,51,-122,6,25,True
1352,kg,23,260,15,26,True
1353,L,18,-238,5,8,False
1354,UN,39,-66,16,26,True
1355,UN,43,248,12,12,True
1356,kg,54,-162,3,8,False
1357,UN,22,269,18,2,False
1358,UN,83,275,16,23,False
1359,kg,52,143,14,7,True
1360,kg,95,276,6,16,False
1361,UN,25,270,12,16,True
1362,L,77,364,10,3,True
1363,UN,89,401,18,20,False
1364,L,55,328,4,28,False
1365,L,15,195,14,20,True
1366,L,84,107,3,23,True
1367,UN,85,-216,5,27,True
1368,UN,68,214,10,6,True
1369,L,51,-199,14,29,False
1370,UN,31,108,17,18,True
1371,UN,86,235,16,20,False
1372,L,30,183,8,13,False
1373,UN,43,9,11,18,True
1374,L,10,-116,18,17,False
1375,kg,3,-40,5,12,False
1376,UN,32,349,14,23,True
1377,kg,57,246,10,1,True
1378,UN,78,103,2,7,True
1379,UN,8,121,16,5,False
1380,kg,43,333,15,12,False
1381,L,97,-171,6,26,True
1382,L,86,-31,7,5,False
1383,UN,2,305,2,25,True
1384,kg,8,291,12,19,False
1385,UN,8,23,7,10,False
1386,kg,88,417,17,5,False
1387,kg,12,346,14,10,False
1388,UN,38,372,7,27,True
1389,kg,68,270,18,27,True
1390,UN,28,357,3,2,False
1391,L,11,223,13,17,False
1392,kg,3,-22,11,15,False
1393,UN,57,-212,11,24,False
1394,L,64,-128,12,20,False
1395,L,41,359,7,27,True
1396,L,8,229,2,1,True
1397,L,59,-29,2,3,True
1398,UN,22,54,14,4,False
1399,UN,48,292,8,13,True
1400,L,26,-107,14,18,True
1401,kg,9,115,7,18,True
1402,UN,82,155,2,28,True
1403,L,99,348,8,19,True
1404,kg,80,382,13,14,False
1405,UN,88,131,14,10,False
1406,UN,1,352,8,1,False
1407,L,31,195,13,16,False
1408,kg,67,82,5,9,True
1409,kg,35,3,13,5,True
1410,UN,25,197,10,11,True
1411,kg,81,-122,17,8,True
1412,L,77,399,7,19,True
1413,L,86,421,3,18,True
1414,L,93,409,3,21,True
1415,kg,15,365,15,27,True
1416,kg,75,99,1,17,False
1417,UN,47,-57,15,1,True
1418,kg,42,-239,11,1,False
1419,UN,43,-171,12,26,True
1420,L,29,71,18,5,True
1421,kg,88,-107,15,15,False
1422,L,53,-245,4,28,True
1423,kg,3,-215,16,7,True
1424,kg,12,-205,5,4,True
1425,kg,4,-266,9,29,False
1426,L,35,-59,13,11,True
1427,UN,5,178,15,12,True
1428,kg,85,244,2,4,True
1429,kg,17,264,14,23,False
1430,UN,22,-202,11,12,True
1431,L,17,263,4,4,True
1432,L,37,330,12,24,False
1433,UN,25,221,9,19,False
1434,kg,66,196,5,7,False
1435,kg,74,416,5,18,False
1436,UN,84,384,6,7,True
1437,UN,77,315,15,6,False
1438,UN,61,-37,5,10,True
1439,UN,99,316,10,3,False
1440,UN,7,336,1,20,False
1441,L,3,143,10,25,False
1442,UN,51,135,7,9,False
1443,kg,54,277,3,18,True
1444,UN,61,-201,5,18,False
1445,UN,91,-172,3,18,False
1446,UN,99,-303,12,2,False
1447,UN,3,-294,13,3,True
1448,UN,89,-126,18,1,True
1449,kg,98,107,5,3,False
1450,L,89,-78,15,10,True
1451,kg,18,233,9,29,True
1452,UN,64,121,14,11,True
1453,L,82,-119,2,25,False
1454,UN,88,-248,18,21,True
1455,UN,85,178,3,2,True
1456,L,47,390,14,23,False
1457,UN,82,103,16,19,False
1458,L,26,145,3,6,False
1459,kg,8,-109,18,16,False
1460,kg,98,-119,3,15,True
1461,kg,34,-244,9,21,False
1462,kg,49,-280,10,8,True
1463,UN,44,271,7,7,True
1464,UN,34,-165,6,18,False
1465,kg,43,-131,13,6,False
1466,L,71,395,15,2,True
1467,kg,56,-94,14,22,False
1468,kg,75,176,9,18,False
1469,UN,61,67,14,11,False
1470,kg,9,-189,1,14,True
1471,UN,15,50,16,13,True
1472,kg,84,375,15,7,True
1473,kg,8,-30,11,21,True
1474,L,25,-163,5,25,False
1475,L,38,288,10,11,True
1476,UN,6,301,1,24,True
1477,kg,54,72,14,12,False
1478,kg,66,385,18,12,False
1479,kg,18,62,15,14,False
1480,L,28,152,17,4,True
1481,kg,31,180,18,27,False
1482,UN,3,132,10,16,False
1483,kg,25,-110,19,4,False
1484,L,33,-82,9,2,True
1485,kg,74,-16,11,24,True
1486,L,41,-44,18,29,False
1487,L,31,-114,10,13,True
1488,UN,74,157,12,10,False
1489,L,81,-48,9,19,True
1490,UN,28,370,3,10,True
1491,L,94,190,2,7,True
1492,UN,96,-107,16,23,False
1493,UN,18,277,7,24,False
1494,L,67,-149,9,11,True
1495,UN,22,243,8,13,True
1496,UN,2,385,11,21,True
1497,L,86,-277,4,29,False
1498,UN,58,32,19,8,False
1499,UN,86,169,13,2,True
1500,kg,3,54,4,18,True
1501,UN,24,375,3,29,False
1502,kg,26,-121,2,8,True
1503,kg,35,-67,1,22,True
1504,kg,79,194,13,14,True
1505,L,29,27,17,13,False
1506,kg,72,-195,17,29,True
1507,L,16,368,15,19,False
1508,UN,7,16,12,4,False
1509,kg,49,-237,3,16,True
1510,kg,81,289,19,17,True
1511,UN,97,320,16,7,False
1512,kg,16,-197,14,25,False
1513,UN,29,129,15,29,True
1514,UN,40,278,13,12,True
1515,UN,90,384,6,21,False
1516,kg,77,-33,7,26,False
1517,kg,82,354,12,29,False
1518,L,47,-33,7,7,False
1519,L,90,370,9,29,True
1520,L,53,270,9,23,False
1521,kg,48,-273,15,2,False
1522,kg,56,-190,9,6,False
1523,L,7,-81,15,23,True
1524,kg,64,-233,13,8,False
1525,L,2,52,10,28,True
1526,kg,76,-203,10,27,False
1527,kg,44,210,7,18,False
1528,L,99,-121,18,5,True
1529,kg,1,319,14,16,True
1530,kg,31,144,2,5,True
1531,L,41,279,18,16,False
1532,kg,8,49,6,11,False
1533,UN,78,359,6,17,True
1534,L,66,111,19,1,True
1535,L,5,144,11,15,False
1536,L,54,154,18,7,True
1537,UN,54,204,1,4,False
1538,L,90,122,13,2,False
1539,L,65,11,16,22,False
1540,L,8,378,16,25,True
1541,kg,95,-77,5,23,False
1542,L,12,212,13,15,False
1543,kg,51,-259,9,1,True
1544,kg,78,33,16,21,True
1545,L,72,314,5,20,True
1546,kg,21,-44,1,17,True
1547,kg,51,375,4,21,True
1548,UN,93,92,5,6,False
1549,UN,19,-22,2,6,False
1550,L,50,155,17,1,False
1551,kg,25,69,11,2,False
1552,kg,26,-175,14,2,False
1553,kg,27,-217,2,23,False
1554,UN,21,-247,19,18,False
1555,L,19,85,19,18,True
1556,kg,46,-148,10,1,True
1557,kg,40,-203,5,26,False
1558,kg,24,-32,12,23,True
1559,kg,40,-29,15,28,False
1560,kg,71,53,10,4,False
1561,kg,76,-120,8,16,False
1562,kg,3,-122,2,10,False
1563,L,61,392,10,26,False
1564,kg,69,373,7,16,True
1565,kg,19,-190,1,7,False
1566,L,68,342,11,24,True
1567,kg,98,-52,13,15,False
1568,kg,46,82,18,8,False
1569,kg,45,-33,3,29,True
1570,UN,84,-108,15,7,True
1571,L,48,204,13,16,True
1572,kg,85,-193,15,4,False
1573,kg,15,303,2,6,False
1574,kg,69,-194,19,19,False
1575,UN,91,-304,19,3,True
1576,UN,35,183,17,18,True
1577,kg,42,-96,5,24,False
1578,kg,22,254,18,16,False
1579,kg,68,-3,2,22,False
1580,L,11,215,18,5,False
1581,L,62,46,13,1,True
1582,kg,38,20,15,22,False
1583,UN,63,-155,16,24,True
1584,kg,63,406,7,3,False
1585,L,33,-132,3,10,True
1586,kg,87,93,7,27,False
1587,UN,38,-285,10,6,True
1588,UN,18,360,19,20,True
1589,UN,12,168,4,10,True
1590,L,19,-89,19,27,True
1591,UN,70,108,16,14,False
1592,L,27,-58,2,25,True
1593,kg,83,-8,11,25,False
1594,L,74,168,17,1,True
1595,UN,74,416,5,11,False
1596,kg,60,298,15,16,True
1597,L,19,-245,5,7,False
1598,kg,40,33,9,11,False
1599,kg,34,-43,11,23,False
1600,kg,61,144,19,28,True
1601,kg,25,-292,5,23,True
1602,L,8,106,6,18,False
1603,kg,36,-171,8,20,True
1604,kg,98,139,18,4,True
1605,L,77,-121,11,27,False
1606,kg,14,155,13,16,True
1607,kg,71,-293,19,19,True
1608,UN,67,-284,19,8,False
1609,UN,98,21,10,14,True
1610,L,1,177,17,20,True
1611,UN,63,423,3,19,True
1612,UN,54,80,3,6,False
1613,kg,1,-55,6,15,True
1614,L,36,-140,18,15,False
1615,kg,21,-70,12,2,True
1616,UN,69,49,13,2,True
1617,kg,66,357,10,9,True
1618,kg,2,368,17,4,True
1619,kg,17,418,4,9,True
1620,kg,49,354,14,6,True
1621,UN,3,-288,16,6,False
1622,kg,69,-286,6,16,True
1623,kg,77,52,9,23,False
1624,kg,11,-235,2,25,True
1625,kg,78,63,16,15,True
1626,L,14,-296,11,13,True
1627,UN,46,34,5,24,False
1628,L,33,153,9,27,True
1629,L,6,357,18,20,True
1630,L,19,382,4,1,False
1631,kg,28,-224,15,7,False
1632,UN,22,264,15,11,True
1633,kg,55,3,19,13,False
1634,L,98,223,7,27,True
1635,kg,28,61,17,16,True
1636,UN,78,-152,17,23,True
1637,kg,94,216,19,6,True
1638,L,83,136,17,12,False
1639,kg,97,-61,18,14,True
1640,kg,54,260,13,16,True
1641,kg,75,264,18,21,True
1642,kg,8,137,9,13,True
1643,L,1,-243,15,4,False
1644,L,49,-101,14,22,True
1645,kg,47,421,17,9,True
1646,kg,41,-291,5,29,True
1647,L,51,350,8,8,True
1648,UN,99,409,7,20,False
1649,UN,17,229,5,20,False
1650,L,43,-21,15,12,False
1651,L,12,-155,17,6,True
1652,kg,33,395,14,9,True
1653,kg,29,394,9,18,True
1654,L,76,63,4,25,True
1655,L,54,-225,19,19,False
1656,kg,44,113,4,7,False
1657,UN,28,209,15,28,False
1658,L,20,122,8,3,True
1659,L,67,356,11,6,False
1660,L,42,218,5,15,True
1661,UN,23,-59,2,13,False
1662,UN,80,352,18,5,True
1663,kg,23,-247,14,22,False
1664,L,68,262,9,12,False
1665,kg,7,-244,10,4,True
1666,L,17,232,17,9,False
1667,kg,79,-240,15,14,False
1668,kg,65,-248,18,18,False
1669,L,82,213,3,14,True
1670,L,31,35,2,4,False
1671,L,37,309,5,4,True
1672,UN,20,134,18,3,False
1673,kg,83,36,2,1,True
1674,kg,34,-189,17,15,False
1675,UN,69,279,8,7,False
1676,kg,9,-252,10,3,True
1677,kg,30,-125,6,28,False
1678,kg,43,-293,17,18,True
1679,kg,50,271,8,27,True
1680,kg,68,326,15,10,False
1681,L,38,-147,6,9,True
1682,kg,66,-267,17,5,False
1683,UN,77,-174,12,21,True
1684,kg,49,388,17,29,True
1685,kg,73,170,18,3,False
1686,L,92,-272,2,14,False
1687,L,40,-142,14,11,False
1688,kg,2,-82,13,19,True
1689,L,81,245,13,9,True
1690,kg,64,221,6,15,True
1691,UN,41,-80,2,9,False
1692,L,51,-241,15,15,False
1693,kg,68,288,7,17,False
1694,L,59,306,19,20,True
1695,L,81,-296,18,13,False
1696,UN,87,181,18,11,True
1697,L,76,-138,17,25,True
1698,L,46,403,14,29,True
1699,UN,79,72,19,19,True
1700,L,50,-208,12,1,False
1701,L,78,-165,8,17,False
1702,kg,81,94,19,18,True
1703,UN,31,2,19,11,False
1704,kg,62,-282,10,2,True
1705,kg,3,352,15,23,True
1706,kg,12,-129,6,14,True
1707,L,7,-138,18,18,True
1708,UN,66,-54,17,19,False
1709,UN,90,239,10,18,True
1710,UN,70,338,5,3,False
1711,kg,60,151,1,16,True
1712,UN,64,321,14,5,True
1713,kg,16,256,13,4,False
1714,UN,28,-11,15,11,False
1715,L,76,158,14,25,False
1716,UN,64,-100,14,23,True
1717,UN,16,106,14,18,True
1718,kg,87,100,1,1,False
1719,L,84,41,13,18,True
1720,UN,14,-183,2,12,False
1721,UN,74,-214,17,10,False
1722,kg,12,-58,16,28,True
1723,L,91,154,5,18,False
1724,kg,44,-108,1,29,False
1725,L,33,-205,8,16,True
1726,L,37,135,8,3,False
1727,L,17,-37,19,20,True
1728,L,77,63,4,17,True
1729,kg,89,170,9,8,True
1730,UN,34,222,18,15,True
1731,UN,52,99,19,10,False
1732,UN,60,-66,14,25,False
1733,UN,18,-157,8,27,True
1734,kg,28,-11,7,1,True
1735,kg,55,84,6,15,False
1736,kg,27,319,8,10,False
1737,kg,14,404,8,24,False
1738,L,35,201,2,4,True
1739,UN,10,188,18,1,False
1740,kg,56,-102,17,16,True
1741,kg,40,324,13,27,True
1742,kg,36,98,12,19,True
1743,UN,79,360,11,17,True
1744,L,30,214,12,16,False
1745,kg,51,390,10,6,False
1746,kg,59,47,18,24,False
1747,L,32,201,4,12,False
1748,kg,97,387,6,10,True
1749,kg,89,26,15,10,False
1750,L,26,-18,17,27,False
1751,UN,18,-76,18,2,True
1752,kg,84,-113,10,29,False
1753,UN,5,-120,11,25,True
1754,UN,31,220,13,3,True
1755,kg,87,-20,16,5,True
1756,UN,70,282,8,22,True
1757,kg,52,-201,4,8,True
1758,UN,74,26,11,2,False
1759,L,27,210,11,15,True
1760,kg,94,-75,8,11,True
1761,L,19,300,8,23,True
1762,kg,34,-238,18,13,True
1763,kg,27,257,16,27,False
1764,L,87,274,15,19,False
1765,L,78,217,16,3,False
1766,kg,58,350,7,17,False
1767,kg,70,157,3,18,False
1768,UN,58,215,5,20,True
1769,UN,82,-276,5,24,False
1770,kg,99,-212,10,2,True
1771,L,60,-69,7,10,True
1772,kg,99,-298,10,3,True
1773,L,97,182,19,16,False
1774,L,82,241,8,3,True
1775,L,30,-56,3,26,False
1776,UN,96,-181,11,23,False
1777,kg,45,-88,14,12,True
1778,UN,64,-204,7,12,False
1779,L,80,13,2,23,True
1780,L,96,-1,5,4,False
1781,L,29,161,16,22,False
1782,kg,75,-134,8,24,False
1783,L,55,333,6,18,True
1784,UN,62,310,18,26,False
1785,kg,24,215,15,13,False
1786,UN,85,-10,13,2,False
1787,UN,5,-107,6,14,True
1788,kg,27,215,16,13,False
1789,L,13,-215,6,8,False
1790,kg,36,155,4,23,False
1791,UN,46,155,1,10,True
1792,kg,16,144,9,1,False
1793,kg,83,206,4,23,True
1794,UN,35,-172,15,6,True
1795,UN,41,-299,6,21,True
1796,kg,54,-278,14,19,False
1797,L,35,321,13,18,True
1798,UN,62,-46,2,2,True
1799,kg,6,392,4,16,False
1800,UN,61,243,18,4,True
1801,L,74,44,12,6,False
1802,kg,96,-141,11,11,False
1803,UN,27,-194,1,2,False
1804,L,71,-100,18,29,False
1805,UN,2,400,14,4,False
1806,UN,13,153,13,13,True
1807,L,56,43,12,13,False
1808,L,81,-16,6,14,True
1809,L,32,-69,8,2,True
1810,L,60,-65,8,13,True
1811,L,21,-244,13,22,True
1812,UN,27,-71,10,17,True
1813,UN,93,291,8,27,True
1814,L,2,231,5,20,True
1815,kg,51,418,5,24,True
1816,L,64,-7,6,24,False
1817,UN,17,233,10,12,False
1818,L,93,173,4,19,False
1819,kg,47,-270,11,15,True
1820,UN,19,16,14,1,True
1821,kg,98,424,12,10,True
1822,L,11,224,7,4,False
1823,kg,7,-165,11,22,True
1824,kg,96,-139,15,10,True
1825,kg,73,-20,7,10,True
1826,UN,71,-58,5,22,False
1827,L,69,-290,3,2,False
1828,kg,25,72,2,7,True
1829,UN,54,70,6,24,True
1830,kg,90,36,5,27,False
1831,UN,92,-18,12,3,False
1832,kg,45,-40,9,6,False
1833,UN,1,299,9,4,False
1834,kg,12,252,14,25,True
1835,L,77,-145,18,15,True
