id,unit_measure,quantity_input,expiration_date,quantity_measure,days_to_sold,product_input_showcase_today
1001,kg,74,2026-09-25,10,21,False
1002,UN,95,2025-08-20,7,27,True
1003,UN,27,2025-04-19,9,23,True
1004,L,53,2026-11-03,18,14,False
1005,L,1,2025-04-05,2,3,False
1006,UN,40,2026-01-05,3,26,True
1007,L,41,2025-07-19,12,29,True
1008,L,65,2026-05-02,6,21,True
1009,UN,30,2026-06-23,7,29,True
1010,kg,86,2025-11-11,4,1,False
1011,L,54,2025-06-07,19,28,True
1012,L,79,2025-08-31,15,3,False
1013,L,1,2026-10-26,5,13,False
1014,kg,70,2026-08-27,8,6,False
1015,L,56,2026-05-29,5,2,False
1016,L,31,2026-11-30,6,15,True
1017,kg,63,2026-02-22,17,6,False
1018,UN,71,2025-09-01,2,19,True
1019,L,90,2025-11-29,13,7,True
1020,kg,25,2026-09-25,8,15,True
1021,L,99,2026-12-20,18,18,False
1022,kg,36,2025-08-15,1,1,False
1023,kg,92,2025-06-18,10,29,True
1024,L,6,2025-04-09,19,4,True
1025,kg,78,2026-08-23,1,6,True
1026,kg,9,2025-12-26,1,19,False
1027,kg,29,2026-06-02,15,26,False
1028,kg,93,2026-10-23,18,25,True
1029,L,55,2025-06-25,4,26,False
1030,L,22,2026-02-12,8,26,True
1031,L,6,2025-09-15,13,20,True
1032,UN,93,2026-01-28,5,18,False
1033,UN,10,2025-05-12,6,7,False
1034,L,4,2026-11-04,14,19,False
1035,kg,30,2025-10-21,19,15,False
1036,L,64,2026-12-30,18,16,False
1037,L,52,2025-06-17,18,27,True
1038,kg,50,2025-08-08,18,1,False
1039,kg,72,2025-04-14,10,2,True
1040,kg,37,2025-12-07,14,22,True
1041,L,2,2025-08-01,17,15,True
1042,UN,94,2025-01-21,1,11,True
1043,UN,73,2026-06-22,7,11,False
1044,kg,69,2025-12-08,2,28,False
1045,L,25,2026-06-04,12,4,True
1046,UN,77,2025-12-20,18,7,False
1047,kg,26,2025-10-29,5,9,False
1048,UN,42,2025-10-26,8,18,False
1049,kg,39,2026-10-23,18,29,True
1050,UN,87,2026-01-16,13,10,False
1051,kg,37,2025-05-21,3,15,True
1052,UN,88,2025-12-17,5,24,False
1053,L,31,2026-06-07,17,23,False
1054,kg,6,2026-01-26,13,9,True
1055,kg,47,2025-12-21,8,3,True
1056,L,66,2025-11-03,3,7,False
1057,kg,49,2026-08-17,3,12,True
1058,UN,58,2026-10-25,2,19,False
1059,UN,69,2025-04-18,3,3,False
1060,UN,37,2025-02-16,1,1,False
1061,L,14,2025-06-30,14,14,False
1062,kg,63,2026-12-31,1,24,False
1063,UN,70,2026-06-02,6,5,True
1064,UN,23,2025-08-24,7,15,False
1065,UN,48,2025-04-19,19,19,False
1066,L,12,2026-11-21,16,15,True
1067,UN,97,2026-10-22,5,5,False
1068,UN,58,2026-02-13,4,6,False
1069,L,24,2026-12-10,16,10,True
1070,L,73,2025-06-26,14,23,False
1071,kg,75,2025-07-16,6,23,False
1072,UN,28,2025-02-15,1,6,False
1073,kg,72,2025-03-01,15,10,True
1074,UN,77,2026-04-22,18,9,False
1075,kg,2,2025-07-27,18,24,True
1076,L,3,2025-12-01,16,11,False
1077,UN,72,2025-10-20,14,7,True
1078,kg,25,2025-04-30,7,28,False
1079,kg,59,2025-12-01,1,9,False
1080,UN,49,2025-02-25,15,29,False
1081,kg,69,2025-06-05,16,23,False
1082,UN,81,2026-01-30,18,22,False
1083,kg,43,2026-01-01,5,6,False
1084,kg,75,2025-10-13,12,24,False
1085,L,78,2025-12-01,17,18,True
1086,L,87,2026-12-16,10,2,False
1087,kg,8,2025-03-03,15,22,True
1088,L,20,2025-12-07,5,29,True
1089,UN,66,2025-12-20,15,27,True
1090,UN,90,2026-10-18,8,5,True
1091,L,84,2026-05-23,8,5,True
1092,L,41,2025-02-16,1,24,True
1093,L,91,2025-11-08,8,25,False
1094,kg,24,2025-02-04,16,18,False
1095,L,79,2025-01-07,1,19,True
1096,L,25,2026-11-14,7,4,True
1097,UN,46,2025-05-07,3,21,True
1098,kg,50,2026-09-28,13,23,True
1099,L,14,2026-09-06,12,6,False
1100,L,11,2025-10-03,11,24,False
1101,L,19,2025-04-24,12,5,True
1102,UN,12,2025-03-17,14,8,True
1103,UN,43,2025-09-05,12,15,True
1104,L,69,2025-08-25,8,26,True
